CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0031000000000000AB0F;22/07/2026;9;0,424;R
ES0031000000000000AB0F;22/07/2026;10;0,413;R
ES0031000000000000AB0F;22/07/2026;11;0,237;R
ES0031000000000000AB0F;22/07/2026;12;0,311;R
ES0031000000000000AB0F;22/07/2026;13;0,375;R
ES0031000000000000AB0F;22/07/2026;14;0,381;R
ES0031000000000000AB0F;22/07/2026;15;0,501;R
ES0031000000000000AB0F;22/07/2026;16;0,370;R
ES0031000000000000AB0F;22/07/2026;17;0,301;R
ES0031000000000000AB0F;22/07/2026;18;0,275;R
ES0031000000000000AB0F;22/07/2026;19;0,386;R
ES0031000000000000AB0F;22/07/2026;20;0,384;R
ES0031000000000000AB0F;22/07/2026;21;0,727;R
ES0031000000000000AB0F;22/07/2026;22;0,554;R
ES0031000000000000AB0F;22/07/2026;23;0,491;R
ES0031000000000000AB0F;22/07/2026;24;0,305;R
ES0031000000000000AB0F;23/07/2026;1;0,141;R
ES0031000000000000AB0F;23/07/2026;2;1,086;R
ES0031000000000000AB0F;23/07/2026;3;0,109;R
ES0031000000000000AB0F;23/07/2026;4;0,093;R
ES0031000000000000AB0F;23/07/2026;5;0,095;R
ES0031000000000000AB0F;23/07/2026;6;0,154;R
ES0031000000000000AB0F;23/07/2026;7;0,186;R
ES0031000000000000AB0F;23/07/2026;8;0,254;R
ES0031000000000000AB0F;23/07/2026;9;0,296;R
ES0031000000000000AB0F;23/07/2026;10;0,364;R
ES0031000000000000AB0F;23/07/2026;11;0,362;R
ES0031000000000000AB0F;23/07/2026;12;0,221;R
ES0031000000000000AB0F;23/07/2026;13;0,275;R
ES0031000000000000AB0F;23/07/2026;14;0,479;R
ES0031000000000000AB0F;23/07/2026;15;0,532;R
ES0031000000000000AB0F;23/07/2026;16;0,476;R
ES0031000000000000AB0F;23/07/2026;17;0,231;R
ES0031000000000000AB0F;23/07/2026;18;0,339;R
ES0031000000000000AB0F;23/07/2026;19;0,308;R
ES0031000000000000AB0F;23/07/2026;20;0,367;R
ES0031000000000000AB0F;23/07/2026;21;0,496;R
ES0031000000000000AB0F;23/07/2026;22;0,739;R
ES0031000000000000AB0F;23/07/2026;23;1,368;R
ES0031000000000000AB0F;23/07/2026;24;0,289;R
ES0031000000000000AB0F;24/07/2026;1;0,123;R
ES0031000000000000AB0F;24/07/2026;2;0,135;R
ES0031000000000000AB0F;24/07/2026;3;0,127;R
ES0031000000000000AB0F;24/07/2026;4;0,121;R
ES0031000000000000AB0F;24/07/2026;5;0,149;R
ES0031000000000000AB0F;24/07/2026;6;0,101;R
ES0031000000000000AB0F;24/07/2026;7;0,167;R
ES0031000000000000AB0F;24/07/2026;8;0,324;R
ES0031000000000000AB0F;24/07/2026;9;0,378;R
ES0031000000000000AB0F;24/07/2026;10;0,324;R
ES0031000000000000AB0F;24/07/2026;11;0,281;R
ES0031000000000000AB0F;24/07/2026;12;0,305;R
ES0031000000000000AB0F;24/07/2026;13;0,369;R
ES0031000000000000AB0F;24/07/2026;14;0,414;R
ES0031000000000000AB0F;24/07/2026;15;0,562;R
ES0031000000000000AB0F;24/07/2026;16;0,343;R
ES0031000000000000AB0F;24/07/2026;17;0,290;R
ES0031000000000000AB0F;24/07/2026;18;0,218;R
ES0031000000000000AB0F;24/07/2026;19;0,313;R
ES0031000000000000AB0F;24/07/2026;20;0,394;R
ES0031000000000000AB0F;24/07/2026;21;0,680;R
ES0031000000000000AB0F;24/07/2026;22;0,615;R
ES0031000000000000AB0F;24/07/2026;23;0,506;R
ES0031000000000000AB0F;24/07/2026;24;0,345;R
ES0031000000000000AB0F;25/07/2026;1;0,142;R
ES0031000000000000AB0F;25/07/2026;2;0,132;R
ES0031000000000000AB0F;25/07/2026;3;0,127;R
ES0031000000000000AB0F;25/07/2026;4;0,129;R
ES0031000000000000AB0F;25/07/2026;5;0,127;R
ES0031000000000000AB0F;25/07/2026;6;0,140;R
ES0031000000000000AB0F;25/07/2026;7;0,168;R
ES0031000000000000AB0F;25/07/2026;8;0,263;R
ES0031000000000000AB0F;25/07/2026;9;0,372;R
ES0031000000000000AB0F;25/07/2026;10;0,408;R
ES0031000000000000AB0F;25/07/2026;11;0,494;R
ES0031000000000000AB0F;25/07/2026;12;0,431;R
ES0031000000000000AB0F;25/07/2026;13;0,432;R
ES0031000000000000AB0F;25/07/2026;14;0,709;R
ES0031000000000000AB0F;25/07/2026;15;0,711;R
ES0031000000000000AB0F;25/07/2026;16;0,449;R
ES0031000000000000AB0F;25/07/2026;17;0,369;R
ES0031000000000000AB0F;25/07/2026;18;0,325;R
ES0031000000000000AB0F;25/07/2026;19;0,323;R
ES0031000000000000AB0F;25/07/2026;20;0,489;R
ES0031000000000000AB0F;25/07/2026;21;0,472;R
ES0031000000000000AB0F;25/07/2026;22;0,677;R
ES0031000000000000AB0F;25/07/2026;23;0,447;R
ES0031000000000000AB0F;25/07/2026;24;0,401;R
ES0031000000000000AB0F;26/07/2026;1;0,142;R
ES0031000000000000AB0F;26/07/2026;2;0,149;R
ES0031000000000000AB0F;26/07/2026;3;0,118;R
ES0031000000000000AB0F;26/07/2026;4;0,090;R
ES0031000000000000AB0F;26/07/2026;5;0,119;R
ES0031000000000000AB0F;26/07/2026;6;0,159;R
ES0031000000000000AB0F;26/07/2026;7;0,139;R
ES0031000000000000AB0F;26/07/2026;8;0,184;R
ES0031000000000000AB0F;26/07/2026;9;0,307;R
ES0031000000000000AB0F;26/07/2026;10;0,372;R
ES0031000000000000AB0F;26/07/2026;11;0,540;R
ES0031000000000000AB0F;26/07/2026;12;0,569;R
ES0031000000000000AB0F;26/07/2026;13;0,547;R
ES0031000000000000AB0F;26/07/2026;14;0,681;R
ES0031000000000000AB0F;26/07/2026;15;0,744;R
ES0031000000000000AB0F;26/07/2026;16;0,553;R
ES0031000000000000AB0F;26/07/2026;17;0,460;R
ES0031000000000000AB0F;26/07/2026;18;0,429;R
ES0031000000000000AB0F;26/07/2026;19;0,320;R
ES0031000000000000AB0F;26/07/2026;20;0,540;R
ES0031000000000000AB0F;26/07/2026;21;0,461;R
ES0031000000000000AB0F;26/07/2026;22;0,766;R
ES0031000000000000AB0F;26/07/2026;23;0,507;R
ES0031000000000000AB0F;26/07/2026;24;0,350;R
ES0031000000000000AB0F;27/07/2026;1;0,183;R
ES0031000000000000AB0F;27/07/2026;2;0,158;R
ES0031000000000000AB0F;27/07/2026;3;0,135;R
ES0031000000000000AB0F;27/07/2026;4;0,102;R
ES0031000000000000AB0F;27/07/2026;5;0,143;R
ES0031000000000000AB0F;27/07/2026;6;0,141;R
ES0031000000000000AB0F;27/07/2026;7;0,191;R
ES0031000000000000AB0F;27/07/2026;8;0,252;R
ES0031000000000000AB0F;27/07/2026;9;0,445;R
ES0031000000000000AB0F;27/07/2026;10;0,268;R
ES0031000000000000AB0F;27/07/2026;11;0,232;R
ES0031000000000000AB0F;27/07/2026;12;0,278;R
ES0031000000000000AB0F;27/07/2026;13;0,270;R
ES0031000000000000AB0F;27/07/2026;14;0,362;R
ES0031000000000000AB0F;27/07/2026;15;0,515;R
ES0031000000000000AB0F;27/07/2026;16;0,385;R
ES0031000000000000AB0F;27/07/2026;17;0,318;R
ES0031000000000000AB0F;27/07/2026;18;0,319;R
ES0031000000000000AB0F;27/07/2026;19;0,288;R
ES0031000000000000AB0F;27/07/2026;20;0,538;R
ES0031000000000000AB0F;27/07/2026;21;0,762;R
ES0031000000000000AB0F;27/07/2026;22;0,669;R
ES0031000000000000AB0F;27/07/2026;23;1,400;R
ES0031000000000000AB0F;27/07/2026;24;0,274;R
ES0031000000000000AB0F;28/07/2026;1;0,117;R
ES0031000000000000AB0F;28/07/2026;2;0,115;R
ES0031000000000000AB0F;28/07/2026;3;0,143;R
ES0031000000000000AB0F;28/07/2026;4;0,098;R
ES0031000000000000AB0F;28/07/2026;5;0,122;R
ES0031000000000000AB0F;28/07/2026;6;0,125;R
ES0031000000000000AB0F;28/07/2026;7;0,144;R
ES0031000000000000AB0F;28/07/2026;8;0,342;R
ES0031000000000000AB0F;28/07/2026;9;0,305;R
ES0031000000000000AB0F;28/07/2026;10;0,349;R
ES0031000000000000AB0F;28/07/2026;11;0,242;R
ES0031000000000000AB0F;28/07/2026;12;0,265;R
ES0031000000000000AB0F;28/07/2026;13;0,365;R
ES0031000000000000AB0F;28/07/2026;14;0,517;R
ES0031000000000000AB0F;28/07/2026;15;0,421;R
ES0031000000000000AB0F;28/07/2026;16;0,311;R
ES0031000000000000AB0F;28/07/2026;17;0,313;R
ES0031000000000000AB0F;28/07/2026;18;0,291;R
ES0031000000000000AB0F;28/07/2026;19;0,368;R
ES0031000000000000AB0F;28/07/2026;20;0,459;R
ES0031000000000000AB0F;28/07/2026;21;0,488;R
ES0031000000000000AB0F;28/07/2026;22;0,886;R
ES0031000000000000AB0F;28/07/2026;23;1,348;R
ES0031000000000000AB0F;28/07/2026;24;0,249;R
ES0031000000000000AB0F;29/07/2026;1;0,204;R
ES0031000000000000AB0F;29/07/2026;2;0,161;R
ES0031000000000000AB0F;29/07/2026;3;0,159;R
ES0031000000000000AB0F;29/07/2026;4;0,140;R
ES0031000000000000AB0F;29/07/2026;5;0,176;R
ES0031000000000000AB0F;29/07/2026;6;0,195;R
ES0031000000000000AB0F;29/07/2026;7;0,178;R
ES0031000000000000AB0F;29/07/2026;8;0,454;R
ES0031000000000000AB0F;29/07/2026;9;0,390;R
ES0031000000000000AB0F;29/07/2026;10;0,520;R
ES0031000000000000AB0F;29/07/2026;11;0,388;R
ES0031000000000000AB0F;29/07/2026;12;0,300;R
ES0031000000000000AB0F;29/07/2026;13;0,395;R
ES0031000000000000AB0F;29/07/2026;14;0,689;R
ES0031000000000000AB0F;29/07/2026;15;0,551;R
ES0031000000000000AB0F;29/07/2026;16;0,488;R
ES0031000000000000AB0F;29/07/2026;17;0,294;R
ES0031000000000000AB0F;29/07/2026;18;0,334;R
ES0031000000000000AB0F;29/07/2026;19;0,438;R
ES0031000000000000AB0F;29/07/2026;20;0,636;R
ES0031000000000000AB0F;29/07/2026;21;0,964;R
ES0031000000000000AB0F;29/07/2026;22;0,999;R
ES0031000000000000AB0F;29/07/2026;23;0,616;R
ES0031000000000000AB0F;29/07/2026;24;0,305;R
ES0031000000000000AB0F;30/07/2026;1;0,148;R
ES0031000000000000AB0F;30/07/2026;2;0,132;R
ES0031000000000000AB0F;30/07/2026;3;0,173;R
ES0031000000000000AB0F;30/07/2026;4;0,138;R
ES0031000000000000AB0F;30/07/2026;5;0,137;R
ES0031000000000000AB0F;30/07/2026;6;0,197;R
ES0031000000000000AB0F;30/07/2026;7;0,263;R
ES0031000000000000AB0F;30/07/2026;8;0,285;R
ES0031000000000000AB0F;30/07/2026;9;0,593;R
ES0031000000000000AB0F;30/07/2026;10;0,419;R
ES0031000000000000AB0F;30/07/2026;11;0,345;R
ES0031000000000000AB0F;30/07/2026;12;0,286;R
ES0031000000000000AB0F;30/07/2026;13;0,543;R
ES0031000000000000AB0F;30/07/2026;14;0,622;R
ES0031000000000000AB0F;30/07/2026;15;0,566;R
ES0031000000000000AB0F;30/07/2026;16;0,383;R
ES0031000000000000AB0F;30/07/2026;17;0,434;R
ES0031000000000000AB0F;30/07/2026;18;0,425;R
ES0031000000000000AB0F;30/07/2026;19;0,487;R
ES0031000000000000AB0F;30/07/2026;20;0,558;R
ES0031000000000000AB0F;30/07/2026;21;0,777;R
ES0031000000000000AB0F;30/07/2026;22;0,918;R
ES0031000000000000AB0F;30/07/2026;23;1,647;R
ES0031000000000000AB0F;30/07/2026;24;0,452;R
ES0031000000000000AB0F;31/07/2026;1;0,184;R
ES0031000000000000AB0F;31/07/2026;2;1,081;R
ES0031000000000000AB0F;31/07/2026;3;0,185;R
ES0031000000000000AB0F;31/07/2026;4;0,145;R
ES0031000000000000AB0F;31/07/2026;5;0,166;R
ES0031000000000000AB0F;31/07/2026;6;0,197;R
ES0031000000000000AB0F;31/07/2026;7;0,258;R
ES0031000000000000AB0F;31/07/2026;8;0,424;R
ES0031000000000000AB0F;31/07/2026;9;0,419;R
ES0031000000000000AB0F;31/07/2026;10;0,384;R
ES0031000000000000AB0F;31/07/2026;11;0,426;R
ES0031000000000000AB0F;31/07/2026;12;0,314;R
ES0031000000000000AB0F;31/07/2026;13;0,527;R
ES0031000000000000AB0F;31/07/2026;14;0,575;R
ES0031000000000000AB0F;31/07/2026;15;0,736;R
ES0031000000000000AB0F;31/07/2026;16;0,502;R
ES0031000000000000AB0F;31/07/2026;17;0,440;R
ES0031000000000000AB0F;31/07/2026;18;0,301;R
ES0031000000000000AB0F;31/07/2026;19;0,439;R
ES0031000000000000AB0F;31/07/2026;20;0,447;R
ES0031000000000000AB0F;31/07/2026;21;0,683;R
ES0031000000000000AB0F;31/07/2026;22;0,735;R
ES0031000000000000AB0F;31/07/2026;23;0,794;R
ES0031000000000000AB0F;31/07/2026;24;0,365;R
ES0031000000000000AB0F;01/08/2026;1;0,274;R
ES0031000000000000AB0F;01/08/2026;2;0,178;R
ES0031000000000000AB0F;01/08/2026;3;0,198;R
ES0031000000000000AB0F;01/08/2026;4;0,128;R
ES0031000000000000AB0F;01/08/2026;5;0,120;R
ES0031000000000000AB0F;01/08/2026;6;0,140;R
ES0031000000000000AB0F;01/08/2026;7;0,182;R
ES0031000000000000AB0F;01/08/2026;8;0,230;R
ES0031000000000000AB0F;01/08/2026;9;0,391;R
ES0031000000000000AB0F;01/08/2026;10;0,596;R
ES0031000000000000AB0F;01/08/2026;11;0,502;R
ES0031000000000000AB0F;01/08/2026;12;0,639;R
ES0031000000000000AB0F;01/08/2026;13;0,549;R
ES0031000000000000AB0F;01/08/2026;14;0,916;R
ES0031000000000000AB0F;01/08/2026;15;0,937;R
ES0031000000000000AB0F;01/08/2026;16;0,594;R
ES0031000000000000AB0F;01/08/2026;17;0,525;R
ES0031000000000000AB0F;01/08/2026;18;0,483;R
ES0031000000000000AB0F;01/08/2026;19;0,600;R
ES0031000000000000AB0F;01/08/2026;20;0,725;R
ES0031000000000000AB0F;01/08/2026;21;0,936;R
ES0031000000000000AB0F;01/08/2026;22;0,869;R
ES0031000000000000AB0F;01/08/2026;23;0,592;R
ES0031000000000000AB0F;01/08/2026;24;0,335;R
ES0031000000000000AB0F;02/08/2026;1;0,238;R
ES0031000000000000AB0F;02/08/2026;2;0,174;R
ES0031000000000000AB0F;02/08/2026;3;0,165;R
ES0031000000000000AB0F;02/08/2026;4;0,143;R
ES0031000000000000AB0F;02/08/2026;5;0,136;R
ES0031000000000000AB0F;02/08/2026;6;0,159;R
ES0031000000000000AB0F;02/08/2026;7;0,218;R
ES0031000000000000AB0F;02/08/2026;8;0,270;R
ES0031000000000000AB0F;02/08/2026;9;0,374;R
ES0031000000000000AB0F;02/08/2026;10;0,533;R
ES0031000000000000AB0F;02/08/2026;11;0,550;R
ES0031000000000000AB0F;02/08/2026;12;0,675;R
ES0031000000000000AB0F;02/08/2026;13;0,598;R
ES0031000000000000AB0F;02/08/2026;14;0,900;R
ES0031000000000000AB0F;02/08/2026;15;0,698;R
ES0031000000000000AB0F;02/08/2026;16;0,518;R
ES0031000000000000AB0F;02/08/2026;17;0,464;R
ES0031000000000000AB0F;02/08/2026;18;0,367;R
ES0031000000000000AB0F;02/08/2026;19;0,558;R
ES0031000000000000AB0F;02/08/2026;20;0,469;R
ES0031000000000000AB0F;02/08/2026;21;0,583;R
ES0031000000000000AB0F;02/08/2026;22;0,680;R
ES0031000000000000AB0F;02/08/2026;23;0,718;R
ES0031000000000000AB0F;02/08/2026;24;0,504;R
ES0031000000000000AB0F;03/08/2026;1;0,182;R
ES0031000000000000AB0F;03/08/2026;2;0,164;R
ES0031000000000000AB0F;03/08/2026;3;0,178;R
ES0031000000000000AB0F;03/08/2026;4;0,144;R
ES0031000000000000AB0F;03/08/2026;5;0,139;R
ES0031000000000000AB0F;03/08/2026;6;0,134;R
ES0031000000000000AB0F;03/08/2026;7;0,244;R
ES0031000000000000AB0F;03/08/2026;8;0,396;R
ES0031000000000000AB0F;03/08/2026;9;0,594;R
ES0031000000000000AB0F;03/08/2026;10;0,411;R
ES0031000000000000AB0F;03/08/2026;11;0,334;R
ES0031000000000000AB0F;03/08/2026;12;0,392;R
ES0031000000000000AB0F;03/08/2026;13;0,453;R
ES0031000000000000AB0F;03/08/2026;14;0,461;R
ES0031000000000000AB0F;03/08/2026;15;0,710;R
ES0031000000000000AB0F;03/08/2026;16;0,445;R
ES0031000000000000AB0F;03/08/2026;17;0,317;R
ES0031000000000000AB0F;03/08/2026;18;0,423;R
ES0031000000000000AB0F;03/08/2026;19;0,356;R
ES0031000000000000AB0F;03/08/2026;20;0,612;R
ES0031000000000000AB0F;03/08/2026;21;0,704;R
ES0031000000000000AB0F;03/08/2026;22;1,023;R
ES0031000000000000AB0F;03/08/2026;23;1,542;R
ES0031000000000000AB0F;03/08/2026;24;0,400;R
ES0031000000000000AB0F;04/08/2026;1;0,158;R
ES0031000000000000AB0F;04/08/2026;2;0,149;R
ES0031000000000000AB0F;04/08/2026;3;0,158;R
ES0031000000000000AB0F;04/08/2026;4;0,124;R
ES0031000000000000AB0F;04/08/2026;5;0,123;R
ES0031000000000000AB0F;04/08/2026;6;0,186;R
ES0031000000000000AB0F;04/08/2026;7;0,241;R
ES0031000000000000AB0F;04/08/2026;8;0,457;R
ES0031000000000000AB0F;04/08/2026;9;0,498;R
ES0031000000000000AB0F;04/08/2026;10;0,357;R
ES0031000000000000AB0F;04/08/2026;11;0,407;R
ES0031000000000000AB0F;04/08/2026;12;0,294;R
ES0031000000000000AB0F;04/08/2026;13;0,370;R
ES0031000000000000AB0F;04/08/2026;14;0,574;R
ES0031000000000000AB0F;04/08/2026;15;0,546;R
ES0031000000000000AB0F;04/08/2026;16;0,462;R
ES0031000000000000AB0F;04/08/2026;17;0,450;R
ES0031000000000000AB0F;04/08/2026;18;0,289;R
ES0031000000000000AB0F;04/08/2026;19;0,442;R
ES0031000000000000AB0F;04/08/2026;20;0,609;R
ES0031000000000000AB0F;04/08/2026;21;0,695;R
ES0031000000000000AB0F;04/08/2026;22;0,878;R
ES0031000000000000AB0F;04/08/2026;23;1,461;R
ES0031000000000000AB0F;04/08/2026;24;0,305;R
ES0031000000000000AB0F;05/08/2026;1;0,121;R
ES0031000000000000AB0F;05/08/2026;2;1,039;R
ES0031000000000000AB0F;05/08/2026;3;0,131;R
ES0031000000000000AB0F;05/08/2026;4;0,143;R
ES0031000000000000AB0F;05/08/2026;5;0,138;R
ES0031000000000000AB0F;05/08/2026;6;0,133;R
ES0031000000000000AB0F;05/08/2026;7;0,179;R
ES0031000000000000AB0F;05/08/2026;8;0,278;R
ES0031000000000000AB0F;05/08/2026;9;0,421;R
ES0031000000000000AB0F;05/08/2026;10;0,418;R
ES0031000000000000AB0F;05/08/2026;11;0,328;R
ES0031000000000000AB0F;05/08/2026;12;0,332;R
ES0031000000000000AB0F;05/08/2026;13;0,385;R
ES0031000000000000AB0F;05/08/2026;14;0,408;R
ES0031000000000000AB0F;05/08/2026;15;0,385;R
ES0031000000000000AB0F;05/08/2026;16;0,384;R
ES0031000000000000AB0F;05/08/2026;17;0,225;R
ES0031000000000000AB0F;05/08/2026;18;0,322;R
ES0031000000000000AB0F;05/08/2026;19;0,342;R
ES0031000000000000AB0F;05/08/2026;20;0,560;R
ES0031000000000000AB0F;05/08/2026;21;0,648;R
ES0031000000000000AB0F;05/08/2026;22;0,728;R
ES0031000000000000AB0F;05/08/2026;23;0,508;R
ES0031000000000000AB0F;05/08/2026;24;0,362;R
ES0031000000000000AB0F;06/08/2026;1;0,178;R
ES0031000000000000AB0F;06/08/2026;2;0,116;R
ES0031000000000000AB0F;06/08/2026;3;0,101;R
ES0031000000000000AB0F;06/08/2026;4;0,116;R
ES0031000000000000AB0F;06/08/2026;5;0,137;R
ES0031000000000000AB0F;06/08/2026;6;0,115;R
ES0031000000000000AB0F;06/08/2026;7;0,142;R
ES0031000000000000AB0F;06/08/2026;8;0,284;R
ES0031000000000000AB0F;06/08/2026;9;0,406;R
ES0031000000000000AB0F;06/08/2026;10;0,327;R
ES0031000000000000AB0F;06/08/2026;11;0,303;R
ES0031000000000000AB0F;06/08/2026;12;0,219;R
ES0031000000000000AB0F;06/08/2026;13;0,415;R
ES0031000000000000AB0F;06/08/2026;14;0,367;R
ES0031000000000000AB0F;06/08/2026;15;0,484;R
ES0031000000000000AB0F;06/08/2026;16;0,341;R
ES0031000000000000AB0F;06/08/2026;17;0,337;R
ES0031000000000000AB0F;06/08/2026;18;0,214;R
ES0031000000000000AB0F;06/08/2026;19;0,391;R
ES0031000000000000AB0F;06/08/2026;20;0,541;R
ES0031000000000000AB0F;06/08/2026;21;0,546;R
ES0031000000000000AB0F;06/08/2026;22;0,818;R
ES0031000000000000AB0F;06/08/2026;23;0,657;R
ES0031000000000000AB0F;06/08/2026;24;0,268;R
ES0031000000000000AB0F;07/08/2026;1;0,192;R
ES0031000000000000AB0F;07/08/2026;2;0,153;R
ES0031000000000000AB0F;07/08/2026;3;0,122;R
ES0031000000000000AB0F;07/08/2026;4;0,136;R
ES0031000000000000AB0F;07/08/2026;5;0,101;R
ES0031000000000000AB0F;07/08/2026;6;0,124;R
ES0031000000000000AB0F;07/08/2026;7;0,176;R
ES0031000000000000AB0F;07/08/2026;8;0,226;R
ES0031000000000000AB0F;07/08/2026;9;0,357;R
ES0031000000000000AB0F;07/08/2026;10;0,386;R
ES0031000000000000AB0F;07/08/2026;11;0,365;R
ES0031000000000000AB0F;07/08/2026;12;0,252;R
ES0031000000000000AB0F;07/08/2026;13;0,317;R
ES0031000000000000AB0F;07/08/2026;14;0,420;R
ES0031000000000000AB0F;07/08/2026;15;0,605;R
ES0031000000000000AB0F;07/08/2026;16;0,398;R
ES0031000000000000AB0F;07/08/2026;17;0,356;R
ES0031000000000000AB0F;07/08/2026;18;0,320;R
ES0031000000000000AB0F;07/08/2026;19;0,423;R
ES0031000000000000AB0F;07/08/2026;20;0,407;R
ES0031000000000000AB0F;07/08/2026;21;0,577;R
ES0031000000000000AB0F;07/08/2026;22;0,840;R
ES0031000000000000AB0F;07/08/2026;23;0,644;R
ES0031000000000000AB0F;07/08/2026;24;0,238;R
ES0031000000000000AB0F;08/08/2026;1;0,124;R
ES0031000000000000AB0F;08/08/2026;2;0,083;R
ES0031000000000000AB0F;08/08/2026;3;0,064;R
ES0031000000000000AB0F;08/08/2026;4;0,063;R
ES0031000000000000AB0F;08/08/2026;5;0,054;R
ES0031000000000000AB0F;08/08/2026;6;0,073;R
ES0031000000000000AB0F;08/08/2026;7;0,072;R
ES0031000000000000AB0F;08/08/2026;8;0,122;R
ES0031000000000000AB0F;08/08/2026;9;0,238;R
ES0031000000000000AB0F;08/08/2026;10;0,282;R
ES0031000000000000AB0F;08/08/2026;11;0,242;R
ES0031000000000000AB0F;08/08/2026;12;0,251;R
ES0031000000000000AB0F;08/08/2026;13;0,264;R
ES0031000000000000AB0F;08/08/2026;14;0,381;R
ES0031000000000000AB0F;08/08/2026;15;0,417;R
ES0031000000000000AB0F;08/08/2026;16;0,240;R
ES0031000000000000AB0F;08/08/2026;17;0,271;R
