Data;Hora;Consumo registado, Ativa (kW);Estado
2026/07/30;15:30;0,29;Real
2026/07/30;15:45;0,279;Real
2026/07/30;16:00;0,279;Real
2026/07/30;16:15;0,342;Real
2026/07/30;16:30;0,217;Real
2026/07/30;16:45;0,251;Real
2026/07/30;17:00;0,261;Real
2026/07/30;17:15;0,368;Real
2026/07/30;17:30;0,317;Real
2026/07/30;17:45;0,334;Real
2026/07/30;18:00;0,336;Real
2026/07/30;18:15;0,492;Real
2026/07/30;18:30;0,483;Real
2026/07/30;18:45;0,533;Real
2026/07/30;19:00;0,416;Real
2026/07/30;19:15;0,714;Real
2026/07/30;19:30;0,734;Real
2026/07/30;19:45;0,702;Real
2026/07/30;20:00;0,636;Real
2026/07/30;20:15;1,073;Real
2026/07/30;20:30;2,397;Real
2026/07/30;20:45;1,054;Real
2026/07/30;21:00;0,809;Real
2026/07/30;21:15;0,894;Real
2026/07/30;21:30;0,763;Real
2026/07/30;21:45;0,943;Real
2026/07/30;22:00;0,888;Real
2026/07/30;22:15;0,584;Real
2026/07/30;22:30;0,48;Real
2026/07/30;22:45;0,684;Real
2026/07/30;23:00;0,697;Real
2026/07/30;23:15;0,39;Real
2026/07/30;23:30;0,345;Real
2026/07/30;23:45;0,443;Real
2026/07/31;00:00;0,349;Real
2026/07/31;00:15;0,177;Real
2026/07/31;00:30;0,168;Real
2026/07/31;00:45;0,143;Real
2026/07/31;01:00;0,174;Real
2026/07/31;01:15;0,124;Real
2026/07/31;01:30;0,116;Real
2026/07/31;01:45;0,132;Real
2026/07/31;02:00;0,164;Real
2026/07/31;02:15;0,159;Real
2026/07/31;02:30;0,129;Real
2026/07/31;02:45;0,16;Real
2026/07/31;03:00;0,129;Real
2026/07/31;03:15;0,127;Real
2026/07/31;03:30;0,144;Real
2026/07/31;03:45;0,157;Real
2026/07/31;04:00;0,143;Real
2026/07/31;04:15;0,122;Real
2026/07/31;04:30;0,121;Real
2026/07/31;04:45;0,098;Real
2026/07/31;05:00;0,147;Real
2026/07/31;05:15;0,127;Real
2026/07/31;05:30;0,163;Real
2026/07/31;05:45;0,162;Real
2026/07/31;06:00;0,122;Real
2026/07/31;06:15;0,253;Real
2026/07/31;06:30;0,226;Real
2026/07/31;06:45;0,184;Real
2026/07/31;07:00;0,267;Real
2026/07/31;07:15;0,375;Real
2026/07/31;07:30;0,371;Real
2026/07/31;07:45;0,273;Real
2026/07/31;08:00;0,321;Real
2026/07/31;08:15;0,453;Real
2026/07/31;08:30;0,475;Real
2026/07/31;08:45;0,422;Real
2026/07/31;09:00;0,412;Estimado
2026/07/31;09:15;0,252;Real
2026/07/31;09:30;0,269;Real
2026/07/31;09:45;0,392;Real
2026/07/31;10:00;0,253;Real
2026/07/31;10:15;0,27;Real
2026/07/31;10:30;0,305;Real
2026/07/31;10:45;0,225;Real
2026/07/31;11:00;0,278;Estimado
2026/07/31;11:15;0,369;Real
2026/07/31;11:30;0,229;Real
2026/07/31;11:45;0,292;Real
2026/07/31;12:00;0,227;Real
2026/07/31;12:15;0,552;Real
2026/07/31;12:30;0,336;Real
2026/07/31;12:45;0,45;Real
2026/07/31;13:00;0,468;Real
2026/07/31;13:15;0,575;Real
2026/07/31;13:30;0,369;Real
2026/07/31;13:45;0,454;Real
2026/07/31;14:00;0,61;Real
2026/07/31;14:15;0,419;Real
2026/07/31;14:30;0,418;Real
2026/07/31;14:45;0,34;Real
2026/07/31;15:00;0,408;Real
2026/07/31;15:15;0,258;Real
2026/07/31;15:30;0,289;Real
2026/07/31;15:45;0,216;Real
2026/07/31;16:00;0,239;Real
2026/07/31;16:15;0,236;Real
2026/07/31;16:30;0,291;Real
2026/07/31;16:45;0,329;Real
2026/07/31;17:00;0,303;Estimado
2026/07/31;17:15;0,36;Real
2026/07/31;17:30;0,269;Real
2026/07/31;17:45;0,438;Real
2026/07/31;18:00;0,318;Real
2026/07/31;18:15;0,361;Real
2026/07/31;18:30;0,45;Real
2026/07/31;18:45;0,42;Real
2026/07/31;19:00;0,466;Real
2026/07/31;19:15;0,771;Real
2026/07/31;19:30;0,83;Real
2026/07/31;19:45;0,705;Real
2026/07/31;20:00;0,731;Real
2026/07/31;20:15;0,686;Real
2026/07/31;20:30;1;Real
2026/07/31;20:45;0,728;Real
2026/07/31;21:00;0,89;Real
2026/07/31;21:15;1,072;Real
2026/07/31;21:30;0,688;Real
2026/07/31;21:45;0,948;Real
2026/07/31;22:00;1,102;Real
2026/07/31;22:15;2,42;Real
2026/07/31;22:30;2,322;Real
2026/07/31;22:45;0,656;Real
2026/07/31;23:00;0,628;Real
2026/07/31;23:15;0,387;Real
2026/07/31;23:30;0,262;Real
2026/07/31;23:45;0,32;Real
2026/08/01;00:00;0,34;Real
2026/08/01;00:15;0,159;Real
2026/08/01;00:30;0,259;Real
2026/08/01;00:45;0,188;Real
2026/08/01;01:00;0,258;Real
2026/08/01;01:15;2,194;Real
2026/08/01;01:30;0,134;Real
2026/08/01;01:45;0,149;Real
2026/08/01;02:00;0,178;Real
2026/08/01;02:15;0,117;Real
2026/08/01;02:30;0,123;Real
2026/08/01;02:45;0,159;Real
2026/08/01;03:00;0,087;Real
2026/08/01;03:15;0,134;Real
2026/08/01;03:30;0,119;Real
2026/08/01;03:45;0,148;Real
2026/08/01;04:00;0,132;Real
2026/08/01;04:15;0,16;Real
2026/08/01;04:30;0,149;Real
2026/08/01;04:45;0,156;Estimado
2026/08/01;05:00;0,098;Real
2026/08/01;05:15;0,163;Real
2026/08/01;05:30;0,174;Real
2026/08/01;05:45;0,121;Real
2026/08/01;06:00;0,175;Real
2026/08/01;06:15;0,203;Real
2026/08/01;06:30;0,125;Real
2026/08/01;06:45;0,142;Real
2026/08/01;07:00;0,212;Real
2026/08/01;07:15;0,311;Real
2026/08/01;07:30;0,266;Real
2026/08/01;07:45;0,284;Real
2026/08/01;08:00;0,178;Real
2026/08/01;08:15;0,401;Real
2026/08/01;08:30;0,364;Real
2026/08/01;08:45;0,296;Real
2026/08/01;09:00;0,347;Real
2026/08/01;09:15;0,404;Real
2026/08/01;09:30;0,446;Real
2026/08/01;09:45;0,411;Real
2026/08/01;10:00;0,371;Real
2026/08/01;10:15;0,452;Real
2026/08/01;10:30;0,425;Real
2026/08/01;10:45;0,757;Real
2026/08/01;11:00;0,663;Real
2026/08/01;11:15;0,557;Real
2026/08/01;11:30;0,64;Real
2026/08/01;11:45;0,767;Real
2026/08/01;12:00;0,775;Real
2026/08/01;12:15;0,613;Real
2026/08/01;12:30;0,781;Real
2026/08/01;12:45;0,529;Real
2026/08/01;13:00;0,842;Real
2026/08/01;13:15;0,531;Real
2026/08/01;13:30;0,688;Real
2026/08/01;13:45;0,815;Real
2026/08/01;14:00;0,831;Real
2026/08/01;14:15;0,501;Real
2026/08/01;14:30;0,546;Real
2026/08/01;14:45;0,502;Real
2026/08/01;15:00;0,538;Real
2026/08/01;15:15;0,407;Real
2026/08/01;15:30;0,371;Real
2026/08/01;15:45;0,502;Real
2026/08/01;16:00;0,554;Real
2026/08/01;16:15;0,361;Real
2026/08/01;16:30;0,513;Real
2026/08/01;16:45;0,422;Real
2026/08/01;17:00;0,329;Real
2026/08/01;17:15;0,356;Real
2026/08/01;17:30;0,373;Real
2026/08/01;17:45;0,401;Estimado
2026/08/01;18:00;0,467;Real
2026/08/01;18:15;0,335;Real
2026/08/01;18:30;0,389;Real
2026/08/01;18:45;0,388;Real
2026/08/01;19:00;0,408;Real
2026/08/01;19:15;0,547;Real
2026/08/01;19:30;0,558;Real
2026/08/01;19:45;0,61;Real
2026/08/01;20:00;0,464;Real
2026/08/01;20:15;0,646;Real
2026/08/01;20:30;0,809;Real
2026/08/01;20:45;0,586;Real
2026/08/01;21:00;0,655;Real
2026/08/01;21:15;0,974;Real
2026/08/01;21:30;0,591;Real
2026/08/01;21:45;0,991;Real
2026/08/01;22:00;0,621;Real
2026/08/01;22:15;0,5;Real
2026/08/01;22:30;0,499;Real
2026/08/01;22:45;0,589;Real
2026/08/01;23:00;0,66;Real
2026/08/01;23:15;0,253;Real
2026/08/01;23:30;0,385;Real
2026/08/01;23:45;0,42;Real
2026/08/02;00:00;0,346;Real
2026/08/02;00:15;0,241;Real
2026/08/02;00:30;0,17;Real
2026/08/02;00:45;0,156;Real
2026/08/02;01:00;0,216;Real
2026/08/02;01:15;0,142;Real
2026/08/02;01:30;0,162;Real
2026/08/02;01:45;0,149;Real
2026/08/02;02:00;0,163;Real
2026/08/02;02:15;0,156;Real
2026/08/02;02:30;0,133;Real
2026/08/02;02:45;0,153;Real
2026/08/02;03:00;0,09;Real
2026/08/02;03:15;0,116;Real
2026/08/02;03:30;0,159;Real
2026/08/02;03:45;0,118;Real
2026/08/02;04:00;0,1;Real
2026/08/02;04:15;0,109;Real
2026/08/02;04:30;0,14;Real
2026/08/02;04:45;0,145;Real
2026/08/02;05:00;0,137;Real
2026/08/02;05:15;0,121;Real
2026/08/02;05:30;0,144;Real
2026/08/02;05:45;0,141;Real
2026/08/02;06:00;0,17;Real
2026/08/02;06:15;0,124;Real
2026/08/02;06:30;0,152;Real
2026/08/02;06:45;0,198;Real
2026/08/02;07:00;0,176;Real
2026/08/02;07:15;0,204;Real
2026/08/02;07:30;0,207;Real
2026/08/02;07:45;0,292;Real
2026/08/02;08:00;0,222;Real
2026/08/02;08:15;0,47;Real
2026/08/02;08:30;0,452;Real
2026/08/02;08:45;0,483;Real
2026/08/02;09:00;0,467;Real
2026/08/02;09:15;0,418;Real
2026/08/02;09:30;0,446;Real
2026/08/02;09:45;0,52;Real
2026/08/02;10:00;0,389;Real
2026/08/02;10:15;0,633;Real
2026/08/02;10:30;0,478;Real
2026/08/02;10:45;0,501;Real
2026/08/02;11:00;0,589;Real
2026/08/02;11:15;0,646;Real
2026/08/02;11:30;0,735;Real
2026/08/02;11:45;0,672;Real
2026/08/02;12:00;0,553;Real
2026/08/02;12:15;0,718;Real
2026/08/02;12:30;0,795;Real
2026/08/02;12:45;0,495;Real
2026/08/02;13:00;0,803;Real
2026/08/02;13:15;0,599;Real
2026/08/02;13:30;0,786;Real
2026/08/02;13:45;0,673;Real
2026/08/02;14:00;0,915;Real
2026/08/02;14:15;0,581;Real
2026/08/02;14:30;0,599;Real
2026/08/02;14:45;0,66;Real
2026/08/02;15:00;0,514;Real
2026/08/02;15:15;0,339;Real
2026/08/02;15:30;0,564;Real
2026/08/02;15:45;0,416;Estimado
2026/08/02;16:00;0,354;Real
2026/08/02;16:15;0,476;Real
2026/08/02;16:30;0,518;Real
2026/08/02;16:45;0,457;Real
2026/08/02;17:00;0,52;Real
2026/08/02;17:15;0,444;Real
2026/08/02;17:30;0,474;Real
2026/08/02;17:45;0,443;Real
2026/08/02;18:00;0,501;Real
2026/08/02;18:15;0,335;Real
2026/08/02;18:30;0,359;Real
2026/08/02;18:45;0,603;Real
2026/08/02;19:00;0,45;Real
2026/08/02;19:15;0,778;Real
2026/08/02;19:30;0,668;Real
2026/08/02;19:45;0,727;Real
2026/08/02;20:00;0,575;Real
2026/08/02;20:15;0,88;Real
2026/08/02;20:30;0,555;Real
2026/08/02;20:45;0,943;Real
2026/08/02;21:00;0,665;Real
2026/08/02;21:15;0,605;Real
2026/08/02;21:30;0,839;Real
2026/08/02;21:45;0,603;Real
2026/08/02;22:00;0,69;Real
2026/08/02;22:15;0,502;Real
2026/08/02;22:30;0,539;Real
2026/08/02;22:45;0,473;Real
2026/08/02;23:00;0,775;Real
2026/08/02;23:15;0,383;Real
2026/08/02;23:30;0,323;Estimado
2026/08/02;23:45;0,266;Real
2026/08/03;00:00;0,381;Real
2026/08/03;00:15;0,203;Real
2026/08/03;00:30;0,184;Real
2026/08/03;00:45;0,217;Estimado
2026/08/03;01:00;0,16;Real
2026/08/03;01:15;0,127;Real
2026/08/03;01:30;0,102;Real
2026/08/03;01:45;0,169;Real
2026/08/03;02:00;0,138;Real
2026/08/03;02:15;0,147;Real
2026/08/03;02:30;0,091;Real
2026/08/03;02:45;0,155;Real
2026/08/03;03:00;0,113;Real
2026/08/03;03:15;0,109;Real
2026/08/03;03:30;0,113;Real
2026/08/03;03:45;0,123;Real
2026/08/03;04:00;0,122;Real
2026/08/03;04:15;0,127;Real
2026/08/03;04:30;0,129;Real
2026/08/03;04:45;0,143;Real
2026/08/03;05:00;0,114;Real
2026/08/03;05:15;0,107;Real
2026/08/03;05:30;0,121;Real
2026/08/03;05:45;0,161;Real
2026/08/03;06:00;0,129;Real
2026/08/03;06:15;0,277;Real
2026/08/03;06:30;0,202;Real
2026/08/03;06:45;0,259;Real
2026/08/03;07:00;0,271;Real
2026/08/03;07:15;0,475;Real
2026/08/03;07:30;0,393;Real
2026/08/03;07:45;0,326;Real
2026/08/03;08:00;0,29;Real
2026/08/03;08:15;0,375;Real
2026/08/03;08:30;0,341;Real
2026/08/03;08:45;0,348;Estimado
2026/08/03;09:00;0,5;Real
2026/08/03;09:15;0,422;Real
2026/08/03;09:30;0,435;Real
2026/08/03;09:45;0,284;Real
2026/08/03;10:00;0,281;Real
2026/08/03;10:15;0,316;Real
2026/08/03;10:30;0,319;Real
2026/08/03;10:45;0,312;Real
2026/08/03;11:00;0,323;Real
2026/08/03;11:15;0,355;Real
2026/08/03;11:30;0,329;Real
2026/08/03;11:45;0,299;Real
2026/08/03;12:00;0,395;Real
2026/08/03;12:15;0,549;Real
2026/08/03;12:30;0,453;Real
2026/08/03;12:45;0,488;Real
2026/08/03;13:00;0,588;Real
2026/08/03;13:15;0,349;Real
2026/08/03;13:30;0,462;Real
2026/08/03;13:45;0,457;Real
2026/08/03;14:00;0,517;Real
2026/08/03;14:15;0,348;Estimado
2026/08/03;14:30;0,411;Estimado
2026/08/03;14:45;0,361;Real
2026/08/03;15:00;0,312;Real
2026/08/03;15:15;0,207;Real
2026/08/03;15:30;0,25;Real
2026/08/03;15:45;0,293;Real
2026/08/03;16:00;0,265;Real
2026/08/03;16:15;0,208;Real
2026/08/03;16:30;0,27;Real
2026/08/03;16:45;0,247;Real
2026/08/03;17:00;0,348;Real
2026/08/03;17:15;0,362;Real
2026/08/03;17:30;0,368;Real
2026/08/03;17:45;0,352;Real
2026/08/03;18:00;0,304;Real
2026/08/03;18:15;0,562;Real
2026/08/03;18:30;0,376;Real
2026/08/03;18:45;0,55;Real
2026/08/03;19:00;0,502;Real
2026/08/03;19:15;0,514;Real
2026/08/03;19:30;0,497;Real
2026/08/03;19:45;0,764;Real
2026/08/03;20:00;0,678;Real
2026/08/03;20:15;1,032;Real
2026/08/03;20:30;0,696;Real
2026/08/03;20:45;1,039;Real
2026/08/03;21:00;1,015;Real
2026/08/03;21:15;0,618;Real
2026/08/03;21:30;1,127;Real
2026/08/03;21:45;0,762;Real
2026/08/03;22:00;0,69;Real
2026/08/03;22:15;0,592;Real
2026/08/03;22:30;2,332;Real
2026/08/03;22:45;0,702;Real
2026/08/03;23:00;0,619;Real
2026/08/03;23:15;0,323;Real
2026/08/03;23:30;0,291;Real
2026/08/03;23:45;0,387;Real
2026/08/04;00:00;0,263;Real
2026/08/04;00:15;0,223;Real
2026/08/04;00:30;0,21;Estimado
2026/08/04;00:45;0,165;Real
2026/08/04;01:00;0,241;Real
2026/08/04;01:15;2,162;Real
2026/08/04;01:30;0,134;Real
2026/08/04;01:45;0,176;Real
2026/08/04;02:00;0,171;Estimado
2026/08/04;02:15;0,158;Real
2026/08/04;02:30;0,136;Real
2026/08/04;02:45;0,153;Real
2026/08/04;03:00;0,113;Real
2026/08/04;03:15;0,159;Real
2026/08/04;03:30;0,139;Real
2026/08/04;03:45;0,102;Real
2026/08/04;04:00;0,139;Real
2026/08/04;04:15;0,133;Real
2026/08/04;04:30;0,119;Real
2026/08/04;04:45;0,154;Real
2026/08/04;05:00;0,126;Real
2026/08/04;05:15;0,176;Real
2026/08/04;05:30;0,133;Real
2026/08/04;05:45;0,107;Real
2026/08/04;06:00;0,17;Real
2026/08/04;06:15;0,185;Real
2026/08/04;06:30;0,249;Real
2026/08/04;06:45;0,187;Real
2026/08/04;07:00;0,231;Real
2026/08/04;07:15;0,28;Real
2026/08/04;07:30;0,358;Real
2026/08/04;07:45;0,307;Real
2026/08/04;08:00;0,467;Real
2026/08/04;08:15;0,484;Real
2026/08/04;08:30;0,332;Real
2026/08/04;08:45;0,548;Real
2026/08/04;09:00;0,507;Real
2026/08/04;09:15;0,309;Real
2026/08/04;09:30;0,312;Real
2026/08/04;09:45;0,411;Real
2026/08/04;10:00;0,428;Real
2026/08/04;10:15;0,344;Real
2026/08/04;10:30;0,287;Real
2026/08/04;10:45;0,286;Real
2026/08/04;11:00;0,343;Real
2026/08/04;11:15;0,261;Real
2026/08/04;11:30;0,231;Real
2026/08/04;11:45;0,364;Real
2026/08/04;12:00;0,351;Real
2026/08/04;12:15;0,51;Real
2026/08/04;12:30;0,531;Real
2026/08/04;12:45;0,589;Real
2026/08/04;13:00;0,503;Real
2026/08/04;13:15;0,414;Real
2026/08/04;13:30;0,636;Real
2026/08/04;13:45;0,584;Real
2026/08/04;14:00;0,619;Real
2026/08/04;14:15;0,418;Real
2026/08/04;14:30;0,347;Real
2026/08/04;14:45;0,378;Real
2026/08/04;15:00;0,421;Estimado
2026/08/04;15:15;0,196;Real
2026/08/04;15:30;0,278;Real
2026/08/04;15:45;0,287;Real
2026/08/04;16:00;0,214;Real
2026/08/04;16:15;0,241;Real
2026/08/04;16:30;0,214;Real
2026/08/04;16:45;0,261;Real
2026/08/04;17:00;0,262;Real
2026/08/04;17:15;0,244;Real
2026/08/04;17:30;0,337;Real
2026/08/04;17:45;0,341;Real
2026/08/04;18:00;0,35;Real
2026/08/04;18:15;0,396;Real
2026/08/04;18:30;0,492;Real
2026/08/04;18:45;0,413;Real
2026/08/04;19:00;0,408;Real
2026/08/04;19:15;0,801;Real
2026/08/04;19:30;0,69;Real
2026/08/04;19:45;0,665;Real
2026/08/04;20:00;0,496;Real
2026/08/04;20:15;0,603;Real
2026/08/04;20:30;2,424;Real
2026/08/04;20:45;1,028;Estimado
2026/08/04;21:00;0,747;Real
2026/08/04;21:15;0,639;Real
2026/08/04;21:30;1,013;Real
2026/08/04;21:45;0,967;Real
2026/08/04;22:00;0,665;Real
2026/08/04;22:15;2,287;Real
2026/08/04;22:30;0,654;Real
2026/08/04;22:45;0,509;Real
2026/08/04;23:00;0,59;Real
2026/08/04;23:15;0,275;Real
2026/08/04;23:30;0,387;Real
2026/08/04;23:45;0,373;Real
2026/08/05;00:00;0,42;Real
2026/08/05;00:15;0,134;Real
2026/08/05;00:30;0,144;Estimado
2026/08/05;00:45;0,142;Real
2026/08/05;01:00;0,154;Real
2026/08/05;01:15;2,096;Real
2026/08/05;01:30;0,102;Real
2026/08/05;01:45;0,131;Real
2026/08/05;02:00;0,165;Real
2026/08/05;02:15;0,137;Real
2026/08/05;02:30;0,092;Real
2026/08/05;02:45;0,1;Real
2026/08/05;03:00;0,095;Real
2026/08/05;03:15;0,155;Real
2026/08/05;03:30;0,092;Real
2026/08/05;03:45;0,109;Real
2026/08/05;04:00;0,122;Real
2026/08/05;04:15;0,118;Real
2026/08/05;04:30;0,15;Real
2026/08/05;04:45;0,158;Real
2026/08/05;05:00;0,128;Real
2026/08/05;05:15;0,107;Real
2026/08/05;05:30;0,134;Real
2026/08/05;05:45;0,15;Real
2026/08/05;06:00;0,116;Real
2026/08/05;06:15;0,279;Real
2026/08/05;06:30;0,19;Real
2026/08/05;06:45;0,179;Real
2026/08/05;07:00;0,201;Real
2026/08/05;07:15;0,304;Real
2026/08/05;07:30;0,452;Real
2026/08/05;07:45;0,299;Real
2026/08/05;08:00;0,363;Real
2026/08/05;08:15;0,547;Real
2026/08/05;08:30;0,544;Real
2026/08/05;08:45;0,355;Real
2026/08/05;09:00;0,505;Real
2026/08/05;09:15;0,411;Real
2026/08/05;09:30;0,285;Real
2026/08/05;09:45;0,331;Real
2026/08/05;10:00;0,379;Estimado
2026/08/05;10:15;0,294;Real
2026/08/05;10:30;0,292;Real
2026/08/05;10:45;0,351;Real
2026/08/05;11:00;0,246;Real
2026/08/05;11:15;0,224;Real
2026/08/05;11:30;0,24;Real
2026/08/05;11:45;0,34;Real
2026/08/05;12:00;0,331;Real
2026/08/05;12:15;0,331;Real
2026/08/05;12:30;0,375;Real
2026/08/05;12:45;0,358;Real
2026/08/05;13:00;0,44;Real
2026/08/05;13:15;0,571;Real
2026/08/05;13:30;0,544;Real
2026/08/05;13:45;0,402;Real
2026/08/05;14:00;0,429;Real
2026/08/05;14:15;0,254;Real
2026/08/05;14:30;0,286;Real
2026/08/05;14:45;0,242;Real
2026/08/05;15:00;0,422;Real
2026/08/05;15:15;0,266;Real
2026/08/05;15:30;0,362;Real
2026/08/05;15:45;0,358;Real
2026/08/05;16:00;0,294;Real
2026/08/05;16:15;0,32;Real
2026/08/05;16:30;0,327;Real
2026/08/05;16:45;0,28;Real
2026/08/05;17:00;0,297;Real
2026/08/05;17:15;0,355;Real
2026/08/05;17:30;0,432;Real
2026/08/05;17:45;0,355;Real
2026/08/05;18:00;0,384;Real
2026/08/05;18:15;0,575;Real
2026/08/05;18:30;0,454;Real
2026/08/05;18:45;0,498;Real
2026/08/05;19:00;0,595;Real
2026/08/05;19:15;0,616;Real
2026/08/05;19:30;0,61;Real
2026/08/05;19:45;0,473;Real
2026/08/05;20:00;0,537;Real
2026/08/05;20:15;1,067;Real
2026/08/05;20:30;0,62;Real
2026/08/05;20:45;0,635;Real
2026/08/05;21:00;0,91;Real
2026/08/05;21:15;0,801;Real
2026/08/05;21:30;0,869;Real
2026/08/05;21:45;0,626;Real
2026/08/05;22:00;1,114;Real
2026/08/05;22:15;2,301;Real
2026/08/05;22:30;2,298;Real
2026/08/05;22:45;0,714;Real
2026/08/05;23:00;0,708;Real
2026/08/05;23:15;0,329;Real
2026/08/05;23:30;0,426;Real
2026/08/05;23:45;0,328;Real
2026/08/06;00:00;0,25;Real
2026/08/06;00:15;0,171;Real
2026/08/06;00:30;0,182;Real
2026/08/06;00:45;0,198;Estimado
2026/08/06;01:00;0,192;Real
2026/08/06;01:15;0,165;Real
2026/08/06;01:30;0,122;Real
2026/08/06;01:45;0,15;Real
2026/08/06;02:00;0,138;Real
2026/08/06;02:15;0,135;Real
2026/08/06;02:30;0,131;Real
2026/08/06;02:45;0,121;Real
2026/08/06;03:00;0,156;Real
2026/08/06;03:15;0,102;Real
2026/08/06;03:30;0,129;Real
2026/08/06;03:45;0,115;Real
2026/08/06;04:00;0,128;Real
2026/08/06;04:15;0,111;Real
2026/08/06;04:30;0,148;Real
2026/08/06;04:45;0,145;Real
2026/08/06;05:00;0,131;Real
2026/08/06;05:15;0,117;Real
2026/08/06;05:30;0,104;Real
2026/08/06;05:45;0,169;Real
2026/08/06;06:00;0,114;Estimado
2026/08/06;06:15;0,273;Real
2026/08/06;06:30;0,156;Real
2026/08/06;06:45;0,235;Real
2026/08/06;07:00;0,271;Real
2026/08/06;07:15;0,286;Real
2026/08/06;07:30;0,462;Real
2026/08/06;07:45;0,418;Real
2026/08/06;08:00;0,301;Real
2026/08/06;08:15;0,422;Real
2026/08/06;08:30;0,478;Real
2026/08/06;08:45;0,332;Real
2026/08/06;09:00;0,366;Real
2026/08/06;09:15;0,317;Real
2026/08/06;09:30;0,246;Real
2026/08/06;09:45;0,328;Real
2026/08/06;10:00;0,239;Real
2026/08/06;10:15;0,209;Real
2026/08/06;10:30;0,207;Real
2026/08/06;10:45;0,294;Real
2026/08/06;11:00;0,318;Real
2026/08/06;11:15;0,341;Real
2026/08/06;11:30;0,318;Real
2026/08/06;11:45;0,27;Real
2026/08/06;12:00;0,344;Real
2026/08/06;12:15;0,458;Real
2026/08/06;12:30;0,391;Real
2026/08/06;12:45;0,426;Real
2026/08/06;13:00;0,588;Real
2026/08/06;13:15;0,636;Real
2026/08/06;13:30;0,615;Real
2026/08/06;13:45;0,433;Real
2026/08/06;14:00;0,479;Real
2026/08/06;14:15;0,419;Real
2026/08/06;14:30;0,399;Real
2026/08/06;14:45;0,274;Real
2026/08/06;15:00;0,328;Real
2026/08/06;15:15;0,244;Real
2026/08/06;15:30;0,343;Real
2026/08/06;15:45;0,296;Real
2026/08/06;16:00;0,331;Real
2026/08/06;16:15;0,288;Real
2026/08/06;16:30;0,263;Real
2026/08/06;16:45;0,27;Real
2026/08/06;17:00;0,356;Real
2026/08/06;17:15;0,314;Real
2026/08/06;17:30;0,337;Real
2026/08/06;17:45;0,435;Real
2026/08/06;18:00;0,322;Real
2026/08/06;18:15;0,374;Real
2026/08/06;18:30;0,371;Real
2026/08/06;18:45;0,584;Real
2026/08/06;19:00;0,482;Real
2026/08/06;19:15;0,813;Real
2026/08/06;19:30;0,811;Real
2026/08/06;19:45;0,72;Real
2026/08/06;20:00;0,494;Real
2026/08/06;20:15;1,07;Real
2026/08/06;20:30;0,627;Real
2026/08/06;20:45;0,745;Real
2026/08/06;21:00;0,848;Real
2026/08/06;21:15;0,793;Real
2026/08/06;21:30;0,88;Real
2026/08/06;21:45;1,107;Real
2026/08/06;22:00;0,996;Real
2026/08/06;22:15;2,09;Real
2026/08/06;22:30;2,087;Real
2026/08/06;22:45;0,756;Real
2026/08/06;23:00;0,718;Real
2026/08/06;23:15;0,364;Real
2026/08/06;23:30;0,403;Real
2026/08/06;23:45;0,24;Real
2026/08/07;00:00;0,323;Real
2026/08/07;00:15;0,208;Real
2026/08/07;00:30;0,163;Real
2026/08/07;00:45;0,135;Real
2026/08/07;01:00;0,197;Real
